"","CompGroup.x.","BaseGroup.Y.","NumSamplesInCompGrp","NumSamplesInBaseGrp","SignedFC","Tstatistic","Parameter","Pvalue","X95.Conf.Int.1","X95.Conf.Int.2","MeanX","MeanY","NullValue.DifferenceInMeans","Alternative","Method","FDR"
"219972_s_at|PCNX4","EGradeIII-IV","EGradeI-II",16,6,1.55979059150483,3.79927070517891,19.996791894482,0.00112469603385456,0.289218634054265,0.993486074279069,6.5046696875,5.86331733333333,0,"two.sided","Welch Two Sample t-test",0.957819246748831
"212793_at|DAAM2","EGradeIII-IV","EGradeI-II",16,6,-1.58992432985878,-3.81194815675716,19.5316639988278,0.00113015434892028,-1.03558698393328,-0.302329224400048,5.6842170625,6.35317516666667,0,"two.sided","Welch Two Sample t-test",0.957819246748831
"242851_at|MFSD4B","EGradeIII-IV","EGradeI-II",16,6,1.80172719311979,3.99989100134405,14.5650919284858,0.00122363121566377,0.395585327978599,1.30317583868807,5.83320725,4.98382666666667,0,"two.sided","Welch Two Sample t-test",0.957819246748831
"212381_at|USP24","EGradeIII-IV","EGradeI-II",16,6,1.61090195291831,3.75813860847407,19.9849193501675,0.00123896674712518,0.306047125357624,1.06969024964238,6.7839681875,6.0960995,0,"two.sided","Welch Two Sample t-test",0.957819246748831
"223977_s_at|LINC00470","EGradeIII-IV","EGradeI-II",16,6,3.51048213843814,3.91519645738329,15.8898201425318,0.00124819693674081,0.830177551278472,2.79316082372153,4.6894901875,2.877821,0,"two.sided","Welch Two Sample t-test",0.957819246748831
"242055_at|PSMG4","EGradeIII-IV","EGradeI-II",16,6,2.24795803603477,3.77240987804278,19.2339543186939,0.00126582303848219,0.52077261139633,1.816457596937,6.1269569375,4.95834183333333,0,"two.sided","Welch Two Sample t-test",0.957819246748831
"222685_at|HAUS6","EGradeIII-IV","EGradeI-II",16,6,1.67108244997816,3.85735305487357,15.2397699139126,0.00151002386349422,0.332010243693522,1.14955558963981,6.11520175,5.37441883333333,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"224823_at|MYLK","EGradeIII-IV","EGradeI-II",16,6,-1.69865015114177,-3.64762453291283,19.6324699003512,0.00164007469211845,-1.20204419441827,-0.326733305581731,9.76252125,10.52691,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"235231_at|ZNF789","EGradeIII-IV","EGradeI-II",16,6,1.57147571688355,3.69479099700398,17.8960906498566,0.00167133027871731,0.28115889829945,1.02308106003388,5.3380138125,4.68589383333333,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"203481_at|SLF2","EGradeIII-IV","EGradeI-II",16,6,1.70163742259563,3.67940770710169,15.7012741003185,0.00208538334314794,0.32437333785275,1.20947399548058,6.4756285,5.70870483333333,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"1553725_s_at|ZNF644","EGradeIII-IV","EGradeI-II",16,6,1.60637793262869,3.54913660196619,19.2857628970573,0.0021034269980982,0.280952920387494,1.0866697910822,6.1385277136918,5.45471635795695,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"202491_s_at|ELP1","EGradeIII-IV","EGradeI-II",16,6,1.86348319975655,3.57369191443056,18.3003741302769,0.00212490595490701,0.37069989588742,1.42530372911258,8.1257728125,7.227771,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"201662_s_at|ACSL3","EGradeIII-IV","EGradeI-II",16,6,1.83578364590783,3.73344587625346,13.7388531437107,0.00229252574767792,0.372025519247596,1.38076656408574,9.010892875,8.13449683333333,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"213459_at|RPL37A","EGradeIII-IV","EGradeI-II",16,6,1.77636132025535,3.45800082707508,19.6734713154849,0.00253185172634885,0.328361555130184,1.32948856986982,5.7192570625,4.890332,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"203762_s_at|DYNC2LI1","EGradeIII-IV","EGradeI-II",16,6,1.61999036113227,3.45829464758019,18.3224569982853,0.00274658814868976,0.273705326667302,1.11826513166603,5.9798965625,5.28391133333333,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"208070_s_at|REV3L","EGradeIII-IV","EGradeI-II",16,6,1.50602859908419,3.66730309459999,13.0916514117862,0.00281108237183345,0.242992705102516,0.938505628230816,7.625348,7.03459883333333,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"213594_x_at|SRSF10","EGradeIII-IV","EGradeI-II",16,6,1.61404132924906,3.63104187117171,13.7087515610241,0.00281187955917438,0.281892921664262,1.0994621200024,7.4103801875,6.71970266666667,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"202194_at|TMED5","EGradeIII-IV","EGradeI-II",16,6,1.54271408486643,3.49220442333502,16.4296486552454,0.0029129335489321,0.246590779516837,1.00435063714983,10.910089875,10.2846191666667,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"241359_at|TLCD2","EGradeIII-IV","EGradeI-II",16,6,1.72845419873341,3.44259807904529,17.8930434880639,0.00292435766851281,0.307476679488715,1.27148807051129,6.587821875,5.7983395,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"200982_s_at|ANXA6","EGradeIII-IV","EGradeI-II",16,6,-1.71934003507187,-3.42953540231964,17.9164239594685,0.00300551463169538,-1.26097681806704,-0.302732973599622,8.2439384375,9.02579333333333,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"231399_at|RAB3IP","EGradeIII-IV","EGradeI-II",16,6,1.58664326197335,3.35455399418917,19.8186159914118,0.00318493638255819,0.251609484645151,1.08034609868818,4.009180125,3.34320233333333,0,"two.sided","Welch Two Sample t-test",0.982170932390783
